date,area,average_price,code,houses_sold,no_of_crimes,borough_flag
01/02/2020,west midlands,199044,E12000005,"5,589",,0
01/03/2020,west midlands,199894,E12000005,"5,364",,0
01/04/2020,west midlands,195119,E12000005,"2,183",,0
01/05/2020,west midlands,198336,E12000005,"2,929",,0
01/06/2020,west midlands,202038,E12000005,"4,373",,0
01/07/2020,west midlands,203670,E12000005,"5,048",,0
01/08/2020,west midlands,205466,E12000005,"5,104",,0
01/09/2020,west midlands,207558,E12000005,"5,461",,0
01/10/2020,west midlands,209680,E12000005,"6,966",,0
01/11/2020,west midlands,211908,E12000005,"6,413",,0
01/12/2020,west midlands,215422,E12000005,"6,995",,0
01/01/2021,west midlands,214106,E12000005,"4,926",,0
01/02/2021,west midlands,216990,E12000005,,,0
01/03/2021,west midlands,220982,E12000005,,,0
01/02/2020,east of england,289046,E12000006,"6,726",,0
01/03/2020,east of england,288815,E12000006,"6,745",,0
01/04/2020,east of england,290855,E12000006,"2,784",,0
01/05/2020,east of england,290097,E12000006,"3,376",,0
01/06/2020,east of england,291578,E12000006,"5,309",,0
01/07/2020,east of england,292738,E12000006,"5,854",,0
01/08/2020,east of england,296928,E12000006,"6,069",,0
01/09/2020,east of england,300532,E12000006,"6,836",,0
01/10/2020,east of england,300216,E12000006,"8,541",,0
01/11/2020,east of england,302367,E12000006,"8,474",,0
01/12/2020,east of england,307780,E12000006,"8,950",,0
01/01/2021,east of england,308452,E12000006,"6,663",,0
01/02/2021,east of england,311432,E12000006,,,0
01/03/2021,east of england,315059,E12000006,,,0
01/02/2020,london,474998,E12000007,"6,327",,0
01/03/2020,london,482523,E12000007,"6,616",,0
01/04/2020,london,475226,E12000007,"3,026",,0
01/05/2020,london,470394,E12000007,"2,765",,0
01/06/2020,london,478922,E12000007,"4,171",,0
01/07/2020,london,483146,E12000007,"5,469",,0
01/08/2020,london,488557,E12000007,"5,644",,0
01/09/2020,london,492983,E12000007,"6,543",,0
01/10/2020,london,487502,E12000007,"7,584",,0
01/11/2020,london,496536,E12000007,"7,115",,0
01/12/2020,london,499008,E12000007,"7,752",,0
01/01/2021,london,502652,E12000007,"6,098",,0
01/02/2021,london,495402,E12000007,,,0
01/03/2021,london,500310,E12000007,,,0
01/02/2020,south east,318615,E12000008,"9,779",,0
01/03/2020,south east,323681,E12000008,"9,858",,0
01/04/2020,south east,324559,E12000008,"3,973",,0
01/05/2020,south east,321421,E12000008,"4,799",,0
01/06/2020,south east,322172,E12000008,"7,393",,0
01/07/2020,south east,325886,E12000008,"8,957",,0
01/08/2020,south east,329550,E12000008,"9,265",,0
01/09/2020,south east,332372,E12000008,"10,625",,0
01/10/2020,south east,333762,E12000008,"12,954",,0
01/11/2020,south east,338719,E12000008,"12,596",,0
01/12/2020,south east,341091,E12000008,"13,882",,0
01/01/2021,south east,341982,E12000008,"10,723",,0
01/02/2021,south east,345483,E12000008,,,0
01/03/2021,south east,348615,E12000008,,,0
01/02/2020,southwest,256769,E12000009,"6,393",,0
01/03/2020,southwest,259746,E12000009,"6,617",,0
01/04/2020,southwest,256591,E12000009,"2,348",,0
01/05/2020,southwest,255487,E12000009,"3,280",,0
01/06/2020,southwest,259493,E12000009,"5,081",,0
01/07/2020,southwest,264554,E12000009,"6,023",,0
01/08/2020,southwest,265726,E12000009,"6,040",,0
01/09/2020,southwest,270737,E12000009,"6,875",,0
01/10/2020,southwest,272516,E12000009,"8,766",,0
01/11/2020,southwest,275204,E12000009,"8,247",,0
01/12/2020,southwest,279223,E12000009,"9,486",,0
01/01/2021,southwest,278723,E12000009,"6,509",,0
01/02/2021,southwest,280373,E12000009,,,0
01/03/2021,southwest,287650,E12000009,,,0
01/02/2020,england,246884,E92000001,"55,941",,0
01/03/2020,england,249403,E92000001,"55,721",,0
01/04/2020,england,246476,E92000001,"22,498",,0
01/05/2020,england,247025,E92000001,"28,985",,0
01/06/2020,england,250851,E92000001,"43,650",,0
01/07/2020,england,253482,E92000001,"50,714",,0
01/08/2020,england,256135,E92000001,"52,421",,0
01/09/2020,england,258545,E92000001,"58,693",,0
01/10/2020,england,260626,E92000001,"72,432",,0
01/11/2020,england,264077,E92000001,"68,635",,0
01/12/2020,england,267363,E92000001,"73,720",,0
01/01/2021,england,267675,E92000001,"53,323",,0
01/02/2021,england,269976,E92000001,,,0
01/03/2021,england,274615,E92000001,,,0
