date,average_price,houses_sold,no_of_crimes
2013-05-01,1086593,221,1405
2013-06-01,1122471,219,1415
2013-07-01,1159559,280,1487
2013-08-01,1189245,249,2167
2013-09-01,1217729,258,1465
2013-10-01,1172514,221,1476
2013-11-01,1168770,262,1482
2013-12-01,1154073,230,1399
2014-01-01,1204771,280,1402
2014-02-01,1198222,222,1347
2014-03-01,1209578,222,1473
2014-04-01,1231111,267,1531
2014-05-01,1263468,269,1492
2014-06-01,1297755,213,1453
2014-07-01,1345616,251,1460
2014-08-01,1347030,217,2089
2014-09-01,1344464,208,1429
2014-10-01,1334423,228,1610
2014-11-01,1365050,158,1555
2014-12-01,1319380,169,1619
2015-01-01,1313357,187,1566
2015-02-01,1287616,180,1413
2015-03-01,1306557,195,1620
2015-04-01,1291645,156,1475
2015-05-01,1306192,170,1637
2015-06-01,1293028,182,1637
2015-07-01,1328276,201,1650
2015-08-01,1316116,169,1752
2015-09-01,1353679,190,1809
2015-10-01,1268780,171,1762
2015-11-01,1295078,160,1672
2015-12-01,1264909,217,1724
